cycle,sm,cta,warp,pc,instruction,event,active_mask,eligible,selected,stall_reason,memory_transaction_count,cache_result,divergence_depth
0,0,0,0,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
0,0,0,0,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
0,1,0,8,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
0,1,0,8,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
1,0,0,0,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
1,0,0,1,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
1,0,0,1,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
1,1,0,8,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
1,1,0,9,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
1,1,0,9,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
2,0,0,1,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
2,0,0,2,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
2,0,0,2,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
2,1,0,9,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
2,1,0,10,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
2,1,0,10,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
3,0,0,2,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
3,0,0,3,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
3,0,0,3,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
3,1,0,10,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
3,1,0,11,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
3,1,0,11,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
4,0,0,3,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
4,0,0,4,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
4,0,0,4,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
4,1,0,11,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
4,1,0,12,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
4,1,0,12,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
5,0,0,4,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
5,0,0,5,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
5,0,0,5,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
5,1,0,12,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
5,1,0,13,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
5,1,0,13,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
6,0,0,5,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
6,0,0,6,0,"MOV.GTID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
6,0,0,6,0,"MOV.GTID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
6,1,0,13,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
